epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,1172.25,0.68179,0.28892,0.00195,0.96694,0.93956,0.98545,0.83631,0.63377,0.31481,0.00281,0.0007328,0.0007328,0.0007328
66,1190.22,0.6638,0.2612,0.00187,0.94082,0.96084,0.98711,0.84222,0.63268,0.29313,0.00281,0.000713,0.000713,0.000713
67,1208.2,0.65396,0.25785,0.00195,0.96135,0.95668,0.98739,0.84944,0.6123,0.28984,0.00272,0.0006932,0.0006932,0.0006932
68,1226.17,0.65699,0.26545,0.00188,0.96237,0.95421,0.98738,0.84745,0.61817,0.26812,0.00271,0.0006734,0.0006734,0.0006734
69,1244.04,0.66481,0.27129,0.00196,0.95919,0.95971,0.98552,0.83389,0.65225,0.29795,0.00284,0.0006536,0.0006536,0.0006536
70,1261.96,0.67398,0.293,0.00194,0.96786,0.94872,0.98716,0.84456,0.62597,0.29353,0.00276,0.0006338,0.0006338,0.0006338
71,1279.84,0.65949,0.28434,0.0019,0.93861,0.95203,0.97926,0.83796,0.61606,0.32489,0.00274,0.000614,0.000614,0.000614
72,1297.74,0.64053,0.25637,0.0018,0.96438,0.94216,0.98241,0.83211,0.65696,0.30331,0.00293,0.0005942,0.0005942,0.0005942
73,1315.63,0.64341,0.26906,0.00181,0.95397,0.95421,0.98485,0.84987,0.59614,0.29938,0.00261,0.0005744,0.0005744,0.0005744
74,1333.6,0.64233,0.2625,0.00178,0.96581,0.94872,0.98747,0.84983,0.60314,0.29129,0.00269,0.0005546,0.0005546,0.0005546
75,1351.49,0.65779,0.26575,0.00184,0.95967,0.95877,0.98846,0.85399,0.60273,0.27971,0.00268,0.0005348,0.0005348,0.0005348
76,1369.62,0.67817,0.26389,0.00191,0.96204,0.95055,0.98715,0.8343,0.64219,0.27718,0.0029,0.000515,0.000515,0.000515
77,1387.63,0.62179,0.25351,0.00179,0.95452,0.95604,0.98877,0.84546,0.62384,0.2922,0.00273,0.0004952,0.0004952,0.0004952
78,1405.54,0.62144,0.24413,0.00173,0.95882,0.94872,0.98536,0.85141,0.60055,0.29439,0.0027,0.0004754,0.0004754,0.0004754
79,1423.43,0.63998,0.25014,0.00183,0.95283,0.96154,0.98745,0.85433,0.59642,0.26549,0.00266,0.0004556,0.0004556,0.0004556
80,1441.41,0.63321,0.24464,0.00179,0.96174,0.96154,0.98447,0.84078,0.61922,0.27445,0.00275,0.0004358,0.0004358,0.0004358
81,1459.51,0.60684,0.22299,0.00171,0.95875,0.95788,0.98701,0.85466,0.61779,0.29201,0.00273,0.000416,0.000416,0.000416
82,1477.7,0.59804,0.23771,0.00164,0.95814,0.96422,0.98673,0.84819,0.59847,0.27833,0.00264,0.0003962,0.0003962,0.0003962
83,1495.6,0.61583,0.24686,0.00173,0.95121,0.96399,0.98787,0.85773,0.59134,0.27912,0.00262,0.0003764,0.0003764,0.0003764
84,1513.59,0.6047,0.24473,0.00169,0.95411,0.95196,0.98683,0.85155,0.60662,0.2905,0.00266,0.0003566,0.0003566,0.0003566
85,1531.46,0.59481,0.23375,0.00167,0.94803,0.96881,0.98857,0.85539,0.59544,0.28184,0.00263,0.0003368,0.0003368,0.0003368
86,1549.36,0.5937,0.24328,0.0017,0.94569,0.96886,0.98633,0.85239,0.58924,0.29519,0.00261,0.000317,0.000317,0.000317
87,1567.28,0.63796,0.26061,0.00183,0.95319,0.96337,0.98412,0.84639,0.60516,0.31457,0.00265,0.0002972,0.0002972,0.0002972
88,1585.17,0.58935,0.22384,0.00166,0.95436,0.95748,0.98591,0.85368,0.58969,0.30292,0.00263,0.0002774,0.0002774,0.0002774
89,1603.09,0.60447,0.24688,0.0017,0.94952,0.9647,0.98371,0.85381,0.59628,0.30047,0.00262,0.0002576,0.0002576,0.0002576
90,1621.01,0.56583,0.22972,0.0016,0.95134,0.96688,0.98003,0.84411,0.58205,0.31471,0.00259,0.0002378,0.0002378,0.0002378
91,1639.3,0.52169,0.19953,0.0017,0.95394,0.94837,0.98103,0.8461,0.61018,0.32582,0.00271,0.000218,0.000218,0.000218
92,1657.17,0.50294,0.18666,0.00164,0.95595,0.95387,0.98273,0.85563,0.58336,0.31596,0.00259,0.0001982,0.0001982,0.0001982
93,1674.92,0.50404,0.19066,0.00164,0.95419,0.95604,0.98225,0.85021,0.60628,0.32268,0.00268,0.0001784,0.0001784,0.0001784
94,1692.69,0.4963,0.17944,0.00164,0.95941,0.95228,0.98363,0.85093,0.6032,0.32215,0.00268,0.0001586,0.0001586,0.0001586
95,1710.46,0.49269,0.17738,0.00159,0.95391,0.95788,0.98292,0.85566,0.58471,0.32801,0.0026,0.0001388,0.0001388,0.0001388
96,1728.23,0.50674,0.178,0.00164,0.95841,0.95055,0.98262,0.85369,0.59247,0.32201,0.00262,0.000119,0.000119,0.000119
97,1746.07,0.49534,0.18471,0.00163,0.96009,0.95421,0.98306,0.85674,0.58311,0.31735,0.00257,9.92e-05,9.92e-05,9.92e-05
98,1763.86,0.48101,0.16982,0.00154,0.95967,0.9587,0.98407,0.8603,0.58104,0.3117,0.00255,7.94e-05,7.94e-05,7.94e-05
99,1781.71,0.46249,0.17038,0.00147,0.95775,0.95482,0.98416,0.86439,0.57373,0.31099,0.00252,5.96e-05,5.96e-05,5.96e-05
100,1799.55,0.47835,0.1717,0.00154,0.96197,0.94872,0.98404,0.85639,0.59057,0.30739,0.00258,3.98e-05,3.98e-05,3.98e-05
